epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2757.12,0.54574,0.57218,0.98582,0.92501,0.93082,0.96216,0.82459,0.58667,0.33999,0.97732,0.000312497,0.000312497,0.000312497
43,2821.71,0.54316,0.58211,0.98122,0.96494,0.90339,0.9595,0.8241,0.59269,0.34315,0.97646,0.000307289,0.000307289,0.000307289
44,2886.81,0.54008,0.56579,0.98293,0.9542,0.92097,0.96385,0.82585,0.59519,0.33696,0.9835,0.000302082,0.000302082,0.000302082
45,2951.64,0.55547,0.57236,0.99068,0.9504,0.91773,0.96148,0.82349,0.59758,0.34677,0.97809,0.000296874,0.000296874,0.000296874
46,3016.21,0.54273,0.5728,0.98745,0.94741,0.91647,0.95503,0.82329,0.58891,0.34801,0.97498,0.000291667,0.000291667,0.000291667
47,3081.99,0.54584,0.5543,0.97756,0.95336,0.92201,0.96479,0.83076,0.57773,0.32674,0.96908,0.00028646,0.00028646,0.00028646
48,3146.49,0.53062,0.56254,0.97357,0.96394,0.92915,0.96826,0.83541,0.5888,0.31377,0.97634,0.000281252,0.000281252,0.000281252
49,3211.95,0.53974,0.56197,0.97939,0.95209,0.92885,0.9671,0.83444,0.58214,0.33003,0.97034,0.000276045,0.000276045,0.000276045
50,3277.95,0.53969,0.54243,0.98108,0.95642,0.9252,0.9654,0.83567,0.57163,0.31713,0.96295,0.000270837,0.000270837,0.000270837
51,3342.9,0.53039,0.54682,0.97877,0.93259,0.94029,0.96827,0.83403,0.57017,0.31506,0.96561,0.00026563,0.00026563,0.00026563
52,3408.23,0.5245,0.53997,0.97303,0.94401,0.93741,0.96763,0.83706,0.56988,0.31185,0.97242,0.000260423,0.000260423,0.000260423
53,3474.53,0.52585,0.54166,0.97684,0.96211,0.93004,0.96689,0.8364,0.57132,0.30861,0.96214,0.000255215,0.000255215,0.000255215
54,3539.22,0.52855,0.53383,0.97749,0.95237,0.93192,0.97088,0.83734,0.57565,0.32409,0.97187,0.000250008,0.000250008,0.000250008
55,3604.86,0.51626,0.53583,0.96817,0.9575,0.93194,0.9672,0.83666,0.58159,0.3193,0.96604,0.0002448,0.0002448,0.0002448
56,3670.48,0.51229,0.51648,0.97307,0.94032,0.94633,0.96745,0.83778,0.57312,0.31126,0.96592,0.000239593,0.000239593,0.000239593
57,3735.57,0.5156,0.53081,0.96986,0.95629,0.94042,0.96951,0.84057,0.57142,0.30752,0.96591,0.000234386,0.000234386,0.000234386
58,3801.27,0.50886,0.52753,0.96814,0.96891,0.92589,0.97039,0.83966,0.57459,0.30245,0.9732,0.000229178,0.000229178,0.000229178
59,3866.37,0.5096,0.50318,0.96516,0.95496,0.93699,0.9652,0.83703,0.56794,0.30732,0.96715,0.000223971,0.000223971,0.000223971
60,3931.55,0.51525,0.50163,0.96852,0.94157,0.94353,0.96666,0.84026,0.56157,0.30574,0.96283,0.000218763,0.000218763,0.000218763
61,3997.46,0.50541,0.4954,0.96298,0.9596,0.93685,0.97031,0.8441,0.56391,0.30026,0.96445,0.000213556,0.000213556,0.000213556
62,4062.96,0.50308,0.50582,0.96628,0.94317,0.93704,0.9682,0.84641,0.56207,0.30622,0.95657,0.000208349,0.000208349,0.000208349
63,4127.97,0.50577,0.49986,0.96496,0.95653,0.93351,0.96893,0.83594,0.5778,0.31453,0.96944,0.000203141,0.000203141,0.000203141
64,4193.32,0.50648,0.49029,0.96476,0.97308,0.9325,0.96836,0.84221,0.56469,0.29924,0.96084,0.000197934,0.000197934,0.000197934
65,4258.68,0.50042,0.48327,0.96153,0.95253,0.91,0.96358,0.83224,0.56414,0.30858,0.9659,0.000192726,0.000192726,0.000192726
66,4323.78,0.49248,0.49038,0.96162,0.9517,0.93775,0.97084,0.84349,0.55881,0.29868,0.95496,0.000187519,0.000187519,0.000187519
67,4389.14,0.50172,0.50147,0.96353,0.95534,0.93691,0.96956,0.84215,0.56305,0.29589,0.95769,0.000182312,0.000182312,0.000182312
68,4454.31,0.49959,0.49239,0.96013,0.96433,0.9269,0.96696,0.84416,0.5505,0.30115,0.95161,0.000177104,0.000177104,0.000177104
69,4519.98,0.48872,0.4765,0.96145,0.95752,0.93429,0.96829,0.84279,0.56079,0.29968,0.95802,0.000171897,0.000171897,0.000171897
70,4585.18,0.49724,0.48161,0.96435,0.94806,0.94799,0.97046,0.84481,0.55579,0.29326,0.95865,0.000166689,0.000166689,0.000166689
71,4650.89,0.49178,0.48063,0.95805,0.94932,0.95133,0.97125,0.84842,0.55266,0.30093,0.95466,0.000161482,0.000161482,0.000161482
72,4716.37,0.48839,0.47308,0.95488,0.96304,0.94825,0.97156,0.84987,0.55633,0.29137,0.95971,0.000156275,0.000156275,0.000156275
73,4781.83,0.48281,0.45901,0.9548,0.95486,0.94253,0.97039,0.85294,0.55632,0.2954,0.9537,0.000151067,0.000151067,0.000151067
74,4847.76,0.48392,0.47354,0.94741,0.9642,0.93582,0.9702,0.84816,0.5555,0.28785,0.95499,0.00014586,0.00014586,0.00014586
75,4913.26,0.48359,0.45605,0.95399,0.95647,0.93942,0.97204,0.84738,0.5604,0.28856,0.95623,0.000140652,0.000140652,0.000140652
76,4979.01,0.47487,0.46007,0.94733,0.95818,0.93787,0.96993,0.84644,0.55593,0.28419,0.9572,0.000135445,0.000135445,0.000135445
77,5044.65,0.47353,0.4549,0.95114,0.95754,0.94262,0.97122,0.84802,0.55445,0.28663,0.95856,0.000130238,0.000130238,0.000130238
