epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,170.517,0.62855,1.0174,1.04808,0.49741,0.70652,0.65582,0.48845,1.10036,1.82008,1.53124,0.00030416,0.00030416,0.00030416
43,174.361,0.60283,0.98894,1.02602,0.58445,0.50879,0.61734,0.46399,1.12596,1.95023,1.61304,0.000301408,0.000301408,0.000301408
44,178.231,0.59419,1.05404,1.00449,0.57323,0.625,0.67646,0.524,1.16091,1.88542,1.63031,0.000298655,0.000298655,0.000298655
45,182.187,0.59333,1.03708,1.01072,0.58979,0.65383,0.73919,0.57446,1.13695,1.81786,1.6448,0.000295903,0.000295903,0.000295903
46,186.135,0.53886,0.95144,0.99203,0.67929,0.74703,0.76099,0.60249,1.13632,1.62977,1.68427,0.000293151,0.000293151,0.000293151
47,189.908,0.54928,0.94148,0.97825,0.42033,0.78477,0.7694,0.63981,1.063,1.53998,1.6131,0.000290399,0.000290399,0.000290399
48,193.924,0.56914,0.96274,1.01143,0.56225,0.62956,0.70311,0.55246,1.07818,1.96799,1.49067,0.000287647,0.000287647,0.000287647
49,197.956,0.57341,0.99026,1.02281,0.6541,0.61111,0.71263,0.56297,1.08248,2.02819,1.36502,0.000284894,0.000284894,0.000284894
50,201.745,0.53902,0.89936,0.97362,0.77157,0.62662,0.74,0.58191,1.05819,1.75524,1.35608,0.000282142,0.000282142,0.000282142
51,205.624,0.53127,0.88273,1.00092,0.62012,0.72793,0.77013,0.62414,1.07021,1.60447,1.34446,0.00027939,0.00027939,0.00027939
52,209.45,0.55419,0.85552,0.99771,0.86487,0.64349,0.83709,0.68135,1.04877,1.51822,1.4848,0.000276638,0.000276638,0.000276638
53,213.277,0.53029,0.83743,0.98677,0.77926,0.65337,0.82501,0.67018,0.94918,1.74637,1.42692,0.000273886,0.000273886,0.000273886
54,217.185,0.54077,0.91249,1.00573,0.51138,0.79162,0.81524,0.62913,0.86112,2.01924,1.25669,0.000271133,0.000271133,0.000271133
55,221.136,0.56904,0.88855,1.00658,0.62394,0.66259,0.71836,0.55166,0.92723,2.07959,1.29974,0.000268381,0.000268381,0.000268381
56,225.224,0.55156,0.91149,0.99837,0.77118,0.65677,0.75343,0.58709,0.96455,1.80435,1.36709,0.000265629,0.000265629,0.000265629
57,229.292,0.56744,0.91367,1.01004,0.5137,0.79841,0.74285,0.61161,0.90325,1.67165,1.24208,0.000262877,0.000262877,0.000262877
58,233.24,0.51151,0.94572,0.97913,0.48806,0.76941,0.72513,0.5978,0.8949,1.88409,1.24861,0.000260125,0.000260125,0.000260125
59,237.187,0.53595,0.89691,0.97359,0.77218,0.52988,0.73018,0.5857,0.92237,1.64341,1.27161,0.000257372,0.000257372,0.000257372
60,241.199,0.483,0.83915,0.97941,0.77512,0.57103,0.73086,0.59418,0.89102,1.6605,1.2666,0.00025462,0.00025462,0.00025462
61,245.136,0.48446,0.92567,0.96463,0.52926,0.69856,0.73924,0.59634,0.82759,1.75555,1.21925,0.000251868,0.000251868,0.000251868
62,248.814,0.55545,0.88044,1.00779,0.54578,0.66479,0.73401,0.59247,0.84414,1.64614,1.28258,0.000249116,0.000249116,0.000249116
63,252.557,0.48476,0.76273,0.96089,0.5113,0.7608,0.74502,0.61891,0.80045,1.54907,1.24834,0.000246364,0.000246364,0.000246364
64,256.333,0.48378,0.78259,0.99298,0.50937,0.81325,0.76277,0.62009,0.78284,1.57425,1.20255,0.000243611,0.000243611,0.000243611
65,259.981,0.50451,0.77101,0.98057,0.78055,0.54555,0.75721,0.61102,0.85093,1.70596,1.23113,0.000240859,0.000240859,0.000240859
66,263.786,0.49054,0.80706,0.96404,0.63564,0.73649,0.75287,0.60867,0.8374,1.71321,1.17785,0.000238107,0.000238107,0.000238107
67,267.505,0.48382,0.778,0.96226,0.54073,0.71117,0.73135,0.59168,0.78108,1.76407,1.17264,0.000235355,0.000235355,0.000235355
68,271.31,0.5091,0.81377,0.97371,0.50493,0.6106,0.63148,0.5074,0.86347,1.79331,1.27646,0.000232603,0.000232603,0.000232603
69,275.224,0.44847,0.77475,0.94527,0.66532,0.61739,0.69907,0.57012,0.9942,1.74957,1.45422,0.00022985,0.00022985,0.00022985
70,278.932,0.47324,0.69808,0.95879,0.5543,0.58113,0.62996,0.50906,1.03443,1.84915,1.51414,0.000227098,0.000227098,0.000227098
71,282.741,0.46376,0.82845,0.95799,0.65969,0.50175,0.61791,0.52287,0.98868,1.82255,1.48053,0.000224346,0.000224346,0.000224346
