epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,109.642,0.8213,2.99998,1.1768,0.31437,0.45869,0.36975,0.27888,0.86548,2.00482,1.26384,0.00017454,0.00017454,0.00017454
2,181.455,0.83711,1.7148,1.15566,0.46887,0.49855,0.50903,0.39283,0.87653,1.86422,1.21305,0.000315236,0.000315236,0.000315236
3,252.224,0.80315,1.40188,1.12853,0.64697,0.57479,0.63951,0.51168,0.84037,1.17329,1.17931,0.000421216,0.000421216,0.000421216
4,322.532,0.76409,1.17169,1.10538,0.69928,0.65042,0.70813,0.57606,0.78553,1.10112,1.13138,0.000369778,0.000369778,0.000369778
5,392.957,0.72906,0.9453,1.07903,0.79241,0.64247,0.74179,0.62022,0.72116,0.90748,1.08276,0.000317704,0.000317704,0.000317704
6,463.156,0.69223,0.80634,1.05554,0.87002,0.77311,0.8662,0.7237,0.69776,0.69228,1.05136,0.00026563,0.00026563,0.00026563
7,533.661,0.65021,0.68734,1.03347,0.88796,0.79931,0.8874,0.75113,0.66192,0.61603,1.02674,0.000213556,0.000213556,0.000213556
8,603.785,0.62489,0.60494,1.00577,0.91699,0.83426,0.91214,0.76548,0.65264,0.53909,1.01485,0.000161482,0.000161482,0.000161482
9,673.659,0.59169,0.51539,0.98572,0.95214,0.86347,0.93701,0.79383,0.6262,0.44677,0.98964,0.000109408,0.000109408,0.000109408
10,739.71,0.56763,0.45915,0.96375,0.94707,0.88108,0.94782,0.80703,0.60418,0.40922,0.97341,5.7334e-05,5.7334e-05,5.7334e-05
